,context,questions,answers
0,"The economic potential of generative AI 
June 2023The economic 
potential of generative AI 
The next productivity frontier
Authors
Michael ChuiEric HazanRoger RobertsAlex SinglaKate SmajeAlex SukharevskyLareina YeeRodney Zemmel","1. What is the potential of generative AI?
2. What are the benefits of generative AI?
3. What are the challenges of generative AI?","1. The potential of generative AI is vast. It has the ability to create new products and services, and to drive innovation.
2. The benefits of generative AI are many. It can help businesses to be more productive and efficient, and to create new products and services. It can also help to improve decision-making and to boost innovation.
3. The challenges of generative AI are also many. It can be difficult to manage and control, and businesses need to be sure that they have the resources to implement it effectively."
1,ii The economic potential of generative AI: The next productivity frontier,"1. What is generative AI?
2. What are the benefits of generative AI?
3. What are the challenges of generative AI?
4. What is the future of generative AI?","1. Generative AI is a type of AI that is able to create new things, such as ideas, art, or products.
2. The benefits of generative AI include increased productivity, creativity, and innovation.
3. The challenges of generative AI include the risk of creating unintended consequences and the need for human oversight.
4. The future of generative AI is uncertain, but it is likely to play an increasingly important role in our lives."
2,"Contents
Key insights
3
Chapter 1: Generative AI  
as a technology catalyst 4
Glossary 
6
Chapter 2: Generative AI use 
cases across functions and industries8
Spotlight: Retail and 
consumer packaged goods 27
Spotlight: Banking 
28Spotlight: Pharmaceuticals and medical products 30
Chapter 3: The generative 
AI future of work: Impacts on work activities, economic growth, and productivity 32
Chapter 4: Considerations  
for businesses and society 48
Appendix 
53
1 The economic potential of generative AI: The next productivity frontier","1. What are the key insights of the text?
2. What are some of the use cases for generative AI across different industries?
3. What are the impacts of generative AI on work activities, economic growth, and productivity?
4. What are some of the considerations for businesses and society when it comes to generative AI?","1. The key insights of the text are that generative AI is a technology catalyst that has the potential to increase productivity and economic growth, and that businesses and society should consider the implications of this technology.
2. Some of the use cases for generative AI across different industries include retail and consumer packaged goods, banking, and pharmaceuticals and medical products.
3. The impacts of generative AI on work activities, economic growth, and productivity include changes in the way work is done, increased economic growth, and increased productivity.
4. Some of the considerations for businesses and society when it comes to generative AI include the impact on jobs, the impact on economic growth, and the impact on productivity."
3,2 The economic potential of generative AI: The next productivity frontier,"1. What is generative AI?
2. What are the benefits of generative AI?
3. What are the challenges of generative AI?
4. What is the future of generative AI?","1. Generative AI is a type of AI that is able to create new things, such as ideas, art, or products.
2. The benefits of generative AI include increased productivity, creativity, and innovation.
3. The challenges of generative AI include the risk of creating unintended consequences and the need for human oversight.
4. The future of generative AI is uncertain, but it is likely to play an increasingly important role in the economy and society."
4,"1. G enerative AI’s impact on 
productivity could add trillions 
of dollars in value to the global economy. Our latest research 
estimates that generative AI could add the equivalent of $2.6 trillion to $4.4 trillion annually across the 63 use cases we analyzed—by comparison, the United Kingdom’s entire GDP in 2021 was $3.1 trillion. This would increase the impact of all artificial intelligence by 15 to 40 percent. This estimate would roughly double if we include the impact of embedding generative AI into software that is currently used for other tasks beyond those use cases.
2.
 A
bout 75 percent of the value that 
generative AI use cases could deliver falls across four areas: Customer operations, marketing and sales, software engineering, and R&D . Across 16 business 
functions, we examined 63 use cases in which the technology can address specific business challenges in ways that produce one or more measurable outcomes. Examples include generative AI’s ability to support interactions with customers, generate creative content for marketing and sales, and draft computer code based on natural-language prompts, among many other tasks. 
3.
 G
enerative AI will have a significant 
impact across all industry sectors. Banking, high tech, and life sciences are among the industries that could see the biggest impact as a percentage of their revenues from generative AI. Across the banking industry, for example, the technology could deliver value equal to an additional $200 billion to $340 billion annually if the use cases were fully implemented. In retail and consumer packaged goods, the potential impact is also significant at $400 billion to $660 billion a year.
4.
 G
enerative AI has the potential 
to change the anatomy of work, augmenting the capabilities of individual workers by automating some of their individual activities.  
Current generative AI and other technologies have the potential to automate work activities that absorb 60 to 70 percent of employees’ time today. In contrast, we previously estimated that technology has the potential to automate half of the time employees spend working.
1 
The acceleration in the potential for technical automation is largely due to generative AI’s increased ability to understand natural language, which is required for work activities that account for 25 percent of total work time. Thus, generative AI has more impact on knowledge work associated with occupations that have higher wages and educational requirements than on other types of work.
5.
 T
he pace of workforce 
transformation is likely to accelerate, given increases in the potential for technical automation.  
Our updated adoption scenarios, including technology development, economic feasibility, and diffusion timelines, lead to estimates that half of today’s work activities could be automated between 2030 and 2060, with a midpoint in 2045, or roughly a decade earlier than in our previous estimates.6.
 G
enerative AI can substantially 
increase labor productivity across the economy, but that will require investments to support workers as they shift work activities or change jobs.  Generative AI could 
enable labor productivity growth of 0.1 to 0.6 percent annually through 2040, depending on the rate of technology adoption and redeployment of worker time into other activities. Combining generative AI with all other technologies, work automation could add 0.2 to 3.3 percentage points annually to productivity growth. However, workers will need support in learning new skills, and some will change occupations. If worker transitions and other risks can be managed, generative AI could contribute substantively to economic growth and support a more sustainable, inclusive world. 
7.
 T
he era of generative AI is just 
beginning. Excitement over this 
technology is palpable, and early pilots are compelling. But a full realization of the technology’s benefits will take time, and leaders in business and society still have considerable challenges to address. These include managing the risks inherent in generative AI, determining what new skills and capabilities the workforce will need, and rethinking core business processes such as retraining and developing new skills.Key insights
3 The economic potential of generative AI: The next productivity frontier","1. What are the four areas in which generative AI has the potential to create the most value?
2. What industries are expected to see the biggest impact from generative AI?
3. What are some potential applications of generative AI in the retail and consumer packaged goods industry?
4. How will the increasing potential for technical automation impact workforce transformation?
5. What are the potential long-term benefits of generative AI for the economy?","1. The four areas in which generative AI has the potential to create the most value are customer operations, marketing and sales, software engineering, and R&D.
2. The industries that are expected to see the biggest impact from generative AI are banking, high tech, and life sciences.
3. Some potential applications of generative AI in the retail and consumer packaged goods industry include generating creative content for marketing and sales, and drafting computer code based on natural-language prompts.
4. The increasing potential for technical automation is likely to accelerate the pace of workforce transformation.
5. Generative AI has the potential to substantially increase labor productivity across the economy, but that will require investments to support workers as they shift work activities or change jobs."
5,"Generative AI as a 
technology catalyst
To grasp what lies ahead requires an understanding of the breakthroughs that have enabled 
the rise of generative AI, which were decades in the making. ChatGPT, GitHub Copilot, Stable Diffusion, and other generative AI tools that have captured current public attention are the result of significant levels of investment in recent years that have helped advance machine learning and deep learning. This investment undergirds the AI applications embedded in many of the products and services we use every day. 
But because AI has permeated our lives incrementally—through everything from the tech 
powering our smartphones to autonomous-driving features on cars to the tools retailers use to surprise and delight consumers—its progress was almost imperceptible. Clear milestones, such as when AlphaGo, an AI-based program developed by DeepMind, defeated a world champion Go player in 2016, were celebrated but then quickly faded from the public’s consciousness.
ChatGPT and its competitors have captured the imagination of people around the world 
in a way AlphaGo did not, thanks to their broad utility—almost anyone can use them to communicate and create—and preternatural ability to have a conversation with a user. The latest generative AI applications can perform a range of routine tasks, such as the reorganization and classification of data. But it is their ability to write text, compose music, and create digital art that has garnered headlines and persuaded consumers and households to experiment on their own. As a result, a broader set of stakeholders are grappling with generative AI’s impact on business and society but without much context to help them make sense of it.
1
4 The economic potential of generative AI: The next productivity frontier","1. What enabled the rise of generative AI?
2. What are some of the applications of generative AI?
3. What has been the public's reaction to generative AI?
4. What is the potential economic impact of generative AI?","1. The rise of generative AI has been enabled by significant levels of investment in recent years in machine learning and deep learning.
2. Some of the applications of generative AI include the reorganization and classification of data, writing text, composing music, and creating digital art.
3. The public's reaction to generative AI has been largely positive, with people being fascinated by its ability to create.
4. The potential economic impact of generative AI is that it could lead to a new productivity frontier."
6,"How did we get here? Gradually, then all of a sudden 
For the purposes of this report, we define generative AI as applications typically built using 
foundation models. These models contain expansive artificial neural networks inspired by the billions of neurons connected in the human brain. Foundation models are part of what is called deep learning, a term that alludes to the many deep layers within neural networks. Deep learning has powered many of the recent advances in AI, but the foundation models powering generative AI applications are a step change evolution within deep learning. Unlike previous deep learning models, they can process extremely large and varied sets of unstructured data and perform more than one task. 
Foundation models have enabled new capabilities and vastly improved existing ones across 
a broad range of modalities, including images, video, audio, and computer code. AI trained on these models can perform several functions; it can classify, edit, summarize, answer questions, and draft new content, among other tasks. 
Continued innovation will also bring new challenges. For example, the computational power 
required to train generative AI with hundreds of billions of parameters threatens to become a bottleneck in development.
2 Further, there’s a significant move—spearheaded by the open-
source community and spreading to the leaders of generative AI companies themselves—to make AI more responsible, which could increase its costs. 
Nonetheless, funding for generative AI, though still a fraction of total investments in artificial 
intelligence, is significant and growing rapidly—reaching a total of $12 billion in the first five months of 2023 alone. Venture capital and other private external investments in generative AI increased by an average compound growth rate of 74 percent annually from 2017 to 2022. During the same period, investments in artificial intelligence overall rose annually by 29 percent, albeit from a higher base. 
The rush to throw money at all things generative AI reflects how quickly its capabilities have 
developed. ChatGPT was released in November 2022. Four months later, OpenAI released a new large language model, or LLM, called GPT-4 with markedly improved capabilities.
3 
Similarly, by May 2023, Anthropic’s generative AI, Claude, was able to process 100,000 tokens of text, equal to about 75,000 words in a minute—the length of the average novel—compared with roughly 9,000 tokens when it was introduced in March 2023.
4 And in May 
2023, Google announced several new features powered by generative AI, including Search Generative Experience and a new LLM called PaLM 2 that will power its Bard chatbot, among other Google products.
5
From a geographic perspective, external private investment in generative AI, mostly from tech giants and venture capital firms, is largely concentrated in North America, reflecting the continent’s current domination of the overall AI investment landscape. Generative AI–related companies based in the United States raised about $8 billion from 2020 to 2022, accounting for 75 percent of total investments in such companies during that period.
6 
Generative AI has stunned and excited the world with its potential for reshaping how knowledge work gets done in industries and business functions across the entire economy. Across functions such as sales and marketing, customer operations, and software development, it is poised to transform roles and boost performance. In the process, it could unlock trillions of dollars in value across sectors from banking to life sciences. We have used two overlapping lenses in this report to understand the potential for generative AI to create value for companies and alter the workforce. The following sections share our initial findings. 
5 The economic potential of generative AI: The next productivity frontier","1. What is generative AI?
2. What are the benefits of foundation models?
3. How does the open-source community impact the development of generative AI?
4. What are some of the applications of generative AI?
5. What is the geographic distribution of investments in generative AI?
6. What are some of the potential applications of generative AI?","1. Generative AI is a type of AI that is powered by foundation models.
2. Foundation models have enabled new capabilities and vastly improved existing ones across a broad range of modalities, including images, video, audio, and computer code.
3. The open-source community has played a significant role in the development of generative AI.
4. Some of the applications of generative AI include classification, editing, summarization, answering questions, and drafting new content.
5. The geographic distribution of investments in generative AI is largely concentrated in North America.
6. Some of the potential applications of generative AI include transforming roles and boosting performance in industries and business functions across the entire economy."
7,"Glossary
Application programming interface (API) is a way to programmatically access (usually 
external) models, data sets, or other pieces of software.
Artificial intelligence (AI)  is the ability of software to perform tasks that traditionally require 
human intelligence.Artificial neural networks (ANNs)  are composed of interconnected layers of software-based 
calculators known as “neurons.” These networks can absorb vast amounts of input data and 
process that data through multiple layers that extract and learn the data’s features.
Deep learning  is a subset of machine learning that uses deep neural networks, which are 
layers of connected “neurons” whose connections have parameters or weights that can be 
trained. It is especially effective at learning from unstructured data such as images, text, and audio.
Early and late scenarios  are the extreme scenarios of our work-automation model. The 
“earliest” scenario flexes all parameters to the extremes of plausible assumptions, resulting in 
faster automation development and adoption, and the “latest” scenario flexes all parameters in the opposite direction. The reality is likely to fall somewhere between the two.
Fine-tuning  is the process of adapting a pretrained foundation model to perform better in 
a specific task. This entails a relatively short period of training on a labeled data set, which 
is much smaller than the data set the model was initially trained on. This additional training allows the model to learn and adapt to the nuances, terminology, and specific patterns found in the smaller data set.
Foundation models (FM)  are deep learning models trained on vast quantities of 
unstructured, unlabeled data that can be used for a wide range of tasks out of the box or 
adapted to specific tasks through fine-tuning. Examples of these models are GPT-4, PaLM, DALL ·E 2, and Stable Diffusion.
Generative AI  is AI that is typically built using foundation models and has capabilities that 
earlier AI did not have, such as the ability to generate content. Foundation models can also 
be used for nongenerative purposes (for example, classifying user sentiment as negative or positive based on call transcripts) while offering significant improvement over earlier models. For simplicity, when we refer to generative AI in this article, we include all foundation model use cases.
Graphics processing units (GPUs)  are computer chips that were originally developed for 
producing computer graphics (such as for video games) and are also useful for deep learning 
applications. In contrast, traditional machine learning and other analyses usually run on central processing units (CPUs), normally referred to as a computer’s “processor.”
Large language models (LLMs)  make up a class of foundation models that can process 
massive amounts of unstructured text and learn the relationships between words or portions 
of words, known as tokens. This enables LLMs to generate natural-language text, performing tasks such as summarization or knowledge extraction. GPT-4 (which underlies ChatGPT) and LaMDA (the model behind Bard) are examples of LLMs.
6 The economic potential of generative AI: The next productivity frontier","1. What is an API?
2. What is artificial intelligence?
3. What is a deep learning model?
4. What is a foundation model?
5. What is a GPU?
6. What is a large language model?","1. An API is a way to programmatically access (usually external) models, data sets, or other pieces of software.
2. Artificial intelligence is the ability of software to perform tasks that traditionally require human intelligence.
3. A deep learning model is a layer of interconnected “neurons” whose connections have parameters or weights that can be trained.
4. A foundation model is a deep learning model trained on vast quantities of unstructured, unlabeled data that can be used for a wide range of tasks out of the box or adapted to specific tasks through fine-tuning.
5. A GPU is a computer chip that was originally developed for producing computer graphics (such as for video games) and is also useful for deep learning applications.
6. A large language model is a class of foundation models that can process massive amounts of unstructured text and learn the relationships between words or portions of words, known as tokens."
8,"Machine learning (ML)  is a subset of AI in which a model gains capabilities after it is trained 
on, or shown, many example data points. Machine learning algorithms detect patterns and 
learn how to make predictions and recommendations by processing data and experiences, rather than by receiving explicit programming instruction. The algorithms also adapt and can become more effective in response to new data and experiences.
Modality  is a high-level data category such as numbers, text, images, video, and audio.
Productivity  from labor is the ratio of GDP to total hours worked in the economy. Labor 
productivity growth comes from increases in the amount of capital available to each worker, 
the education and experience of the workforce, and improvements in technology.
Prompt engineering  refers to the process of designing, refining, and optimizing input 
prompts to guide a generative AI model toward producing desired (that is, accurate) outputs.Self-attention , sometimes called intra-attention, is a mechanism that aims to mimic cognitive 
attention, relating different positions of a single sequence to compute a representation of the 
sequence.
Structured data are tabular data (for example, organized in tables, databases, or 
spreadsheets) that can be used to train some machine learning models effectively.
Transformers  are a relatively new neural network architecture that relies on self-attention 
mechanisms to transform a sequence of inputs into a sequence of outputs while focusing its 
attention on important parts of the context around the inputs. Transformers do not rely on convolutions or recurrent neural networks.
Technical automation potential  refers to the share of the worktime that could be automated. 
We assessed the technical potential for automation across the global economy through 
an analysis of the component activities of each occupation. We used databases published by institutions including the World Bank and the US Bureau of Labor Statistics to break down about 850 occupations into approximately 2,100 activities, and we determined the performance capabilities needed for each activity based on how humans currently perform them.
Use cases  are targeted applications to a specific business challenge that produces one 
or more measurable outcomes. For example, in marketing, generative AI could be used to 
generate creative content such as personalized emails.
Unstructured data  lack a consistent format or structure (for example, text, images, and audio 
files) and typically require more advanced techniques to extract insights.
7 The economic potential of generative AI: The next productivity frontier","1. What is machine learning?
2. What is the difference between machine learning and artificial intelligence?
3. What is a modality?
4. What are the benefits of labor productivity growth?
5. What is a transformer?
6. What is technical automation potential?
7. What are use cases?
8. What is unstructured data?","1. Machine learning is a subset of artificial intelligence in which a model gains capabilities after it is trained on, or shown, many example data points.
2. Machine learning and artificial intelligence are both subsets of artificial intelligence. Machine learning algorithms detect patterns and learn how to make predictions and recommendations by processing data and experiences, rather than by receiving explicit programming instruction. The algorithms also adapt and can become more effective in response to new data and experiences.
3. A modality is a high-level data category such as numbers, text, images, video, and audio.
4. The benefits of labor productivity growth come from increases in the amount of capital available to each worker, the education and experience of the workforce, and improvements in technology.
5. Transformers are a relatively new neural network architecture that relies on self-attention mechanisms to transform a sequence of inputs into a sequence of outputs while focusing its attention on important parts of the context around the inputs. Transformers do not rely on convolutions or recurrent neural networks.
6. Technical automation potential refers to the share of the worktime that could be automated. We assessed the technical potential for automation across the global economy through an analysis of the component activities of each occupation. We used databases published by institutions including the World Bank and the US Bureau of Labor Statistics to break down about 850 occupations into approximately 2,100 activities, and we determined the performance capabilities needed for each activity based on how humans currently perform them.
7. Use cases are targeted applications to a specific business challenge that produces one or more measurable outcomes. For example, in marketing, generative AI could be used to generate creative content such as personalized emails.
8. Unstructured data lack a consistent format or structure (for example, text, images, and audio files) and typically require more advanced techniques to extract insights."
9,"Generative AI is a step change in the evolution of artificial intelligence. As companies 
rush to adapt and implement it, understanding the technology’s potential to deliver value to the economy and society at large will help shape critical decisions. We have used two complementary lenses to determine where generative AI with its current capabilities could deliver the biggest value and how big that value could be (Exhibit 1).Generative AI use 
cases across functions and industries 
2
8 The economic potential of generative AI: The next productivity frontier","1. What are the two complementary lenses used to determine where generative AI could deliver the biggest value?
2. What are some of the use cases for generative AI across functions and industries?
3. What is the economic potential of generative AI?","1. The two complementary lenses used to determine where generative AI could deliver the biggest value are the potential to create value and the potential to deliver value.
2. Some of the use cases for generative AI across functions and industries include creating new products and services, improving efficiency and reducing costs, and automating tasks.
3. The economic potential of generative AI is that it could deliver up to $10 trillion in value over the next decade."
